species_value,species_display
unknown,unknown
other,other (describe in &#39;Notes&#39;)
blackbird sp.,blackbird sp.
finch sp.,finch sp.
flycatcher sp.,flycatcher sp.
gull sp.,gull sp.
hawk sp.,hawk sp.
hummingbird sp.,hummingbird sp.
kinglet sp.,kinglet sp.
owl sp.,owl sp.
shorebird sp.,shorebird sp.
sparrow sp.,sparrow sp.
thrush sp.,thrush sp.
warbler sp.,warbler sp.
waterfowl sp.,waterfowl sp.
woodpecker sp.,woodpecker sp.
wren sp.,wren sp.
American Crow,American Crow
American Goldfinch,American Goldfinch
American Kestrel,American Kestrel
American Redstart,American Redstart
American Robin,American Robin
American Three-toed Woodpecker,American Three-toed Woodpecker
American Tree Sparrow,American Tree Sparrow
American Woodcock,American Woodcock
Baltimore Oriole,Baltimore Oriole
Bank Swallow,Bank Swallow
Barn Swallow,Barn Swallow
Bay-breasted Warbler,Bay-breasted Warbler
Belted Kingfisher,Belted Kingfisher
Black-and-white Warbler,Black-and-white Warbler
Black-backed Woodpecker,Black-backed Woodpecker
Black-billed Cuckoo,Black-billed Cuckoo
Black-billed Magpie,Black-billed Magpie
Black-capped Chickadee,Black-capped Chickadee
Black-throated Blue Warbler,Black-throated Blue Warbler
Black-throated Green Warbler,Black-throated Green Warbler
Blackburnian Warbler,Blackburnian Warbler
Blackpoll Warbler,Blackpoll Warbler
Blue Grosbeak,Blue Grosbeak
Blue Jay,Blue Jay
Blue-gray Gnatcatcher,Blue-gray Gnatcatcher
Blue-headed Vireo,Blue-headed Vireo
Blue-winged Warbler,Blue-winged Warbler
Bobolink,Bobolink
Bohemian Waxwing,Bohemian Waxwing
Brewers Blackbird,Brewer&#39s Blackbird
Broad-winged Hawk,Broad-winged Hawk
Brown Creeper,Brown Creeper
Brown Thrasher,Brown Thrasher
Brown-headed Cowbird,Brown-headed Cowbird
Bufflehead,Bufflehead
Canada Warbler,Canada Warbler
Cape May Warbler,Cape May Warbler
Cedar Waxwing,Cedar Waxwing
Cerulean Warbler,Cerulean Warbler
Chestnut-sided Warbler,Chestnut-sided Warbler
Chipping Sparrow,Chipping Sparrow
Clay-colored Sparrow,Clay-colored Sparrow
Cliff Swallow,Cliff Swallow
Common Grackle,Common Grackle
Common Redpoll,Common Redpoll
Common Yellowthroat,Common Yellowthroat
Connecticut Warbler,Connecticut Warbler
Coopers Hawk,Cooper&#39s Hawk
